Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,2.650000,2.670000,2.250000,2.460000,2.460000,4725800
2021-02-11,2.550000,2.640000,2.420000,2.580000,2.580000,5320800
2021-02-12,2.640000,3.150000,2.550000,3.140000,3.140000,12931600
2021-02-16,3.470000,3.910000,3.430000,3.810000,3.810000,14296600
2021-02-17,4.100000,4.750000,3.990000,4.680000,4.680000,12623600
2021-02-18,4.650000,5.200000,4.100000,4.800000,4.800000,12583500
2021-02-19,5.100000,5.750000,5.070000,5.370000,5.370000,13091200
2021-02-22,4.500000,5.700000,4.200000,4.970000,4.970000,11980800
2021-02-23,4.210000,4.470000,3.500000,3.880000,3.880000,14681400
2021-02-24,4.390000,4.500000,4.120000,4.290000,4.290000,5648000
2021-02-25,4.550000,4.780000,3.860000,4.030000,4.030000,5885800
2021-02-26,3.800000,4.030000,3.560000,3.790000,3.790000,4789700
2021-03-01,4.250000,4.530000,4.080000,4.510000,4.510000,4774900
2021-03-02,4.810000,4.960000,4.260000,4.370000,4.370000,4442900
2021-03-03,4.630000,4.710000,4.220000,4.310000,4.310000,4021000
2021-03-04,4.130000,4.250000,3.160000,3.550000,3.550000,8107500
2021-03-05,3.600000,3.750000,2.630000,3.500000,3.500000,9459900
2021-03-08,3.930000,4.150000,3.530000,3.970000,3.970000,4642900
2021-03-09,4.260000,4.450000,4.180000,4.200000,4.200000,4218600
2021-03-10,4.400000,4.450000,3.900000,3.990000,3.990000,4562300
2021-03-11,4.010000,4.150000,3.950000,4.030000,4.030000,2667800
2021-03-12,3.870000,3.970000,3.750000,3.900000,3.900000,2624500
2021-03-15,3.920000,4.070000,3.830000,3.870000,3.870000,2359600
2021-03-16,3.800000,3.850000,3.520000,3.600000,3.600000,2421000
2021-03-17,3.500000,3.930000,3.310000,3.920000,3.920000,3104900
2021-03-18,3.900000,4.010000,3.600000,3.610000,3.610000,2577900
2021-03-19,3.700000,3.840000,3.610000,3.730000,3.730000,1832600
2021-03-22,3.800000,3.800000,3.610000,3.630000,3.630000,2110600
